run,articulation_points,dijkstra_negative
1,100,120
2,100,130
3,100,100
4,100,180
5,100,120
6,100,260
7,100,120
8,100,160
9,100,190
10,100,180
11,100,120
12,100,120
13,100,160
14,100,140
15,100,240
16,100,240
17,100,150
18,100,100
19,100,210
20,100,200
21,100,130
22,100,160
23,100,130
24,100,140
25,100,110
26,100,280
27,100,140
28,100,140
29,100,230
30,100,160
31,100,220
32,100,170
33,100,180
34,100,190
35,100,160
36,100,160
37,100,140
38,100,220
39,100,210
40,100,200
41,100,130
42,100,150
43,100,130
44,100,220
45,100,130
46,100,110
47,100,130
48,100,130
49,100,110
50,100,280
51,100,150
52,100,100
53,100,210
54,100,160
55,100,100
56,100,100
57,100,170
58,100,160
59,100,160
60,100,130
61,100,240
62,100,110
63,100,210
64,100,160
65,100,150
66,100,100
67,100,190
68,100,170
69,100,130
70,100,170
71,100,130
72,100,180
73,100,190
74,100,160
75,100,100
76,100,100
77,100,100
78,100,130
79,100,130
80,100,230
81,100,160
82,100,140
83,100,200
84,100,250
85,100,100
86,100,150
87,100,180
88,100,140
89,100,240
90,100,140
91,100,240
92,100,120
93,100,160
94,100,140
95,100,170
96,100,180
97,100,150
98,100,130
99,100,100
100,100,150
